sexo,estilo,distancia,prueba,n,rho_nivel_factor,p,factor_wa,factor_todos,n_elite,factor_elite,brecha_todos_s,brecha_elite_s
F,BACKSTROKE,100,100 Espalda,1453,-0.11972863102979386,4.7307464701333235e-06,1.0511126564673157,1.0408921933085502,100,1.0448805182619136,-0.5878810408921892,-0.3584725895747246
F,BACKSTROKE,200,200 Espalda,988,-0.016906172666569505,0.5955796001102235,1.0441293611597897,1.0413477877682515,77,1.0399445667237304,-0.3491987235737022,-0.5253590935028905
F,BREASTSTROKE,100,100 Pecho,1423,0.01609590767917021,0.5440590687386669,1.0292442665845776,1.0334716459197788,76,1.0330224326007782,0.274652835408024,0.24546744607255452
F,BREASTSTROKE,200,200 Pecho,998,0.09358170740715167,0.003084953887781441,1.028186879007822,1.032891822668746,90,1.0296168049197525,0.6676785549217404,0.20292078616206932
F,BUTTERFLY,100,100 Mariposa,1436,-0.12504179422889844,2.0047347335973934e-06,1.0162020905923346,1.014530535682933,92,1.0171859561274839,-0.09594725179964714,0.05647388171756904
F,BUTTERFLY,200,200 Mariposa,649,0.21426788528483445,3.543793205552719e-08,1.0027939464493598,1.0249587767950832,86,1.020728541631389,2.855938390046455,2.310872589204451
F,FREESTYLE,50,50 Libre,1692,-0.3453898702462678,1.3484581769116227e-48,1.021783806000822,1.0200559268541725,114,1.0273026613009724,-0.04203929963798266,0.13427374945265907
F,FREESTYLE,100,100 Libre,1677,-0.2793791469147344,1.9143438177623756e-31,1.0231987929083364,1.0197896238188626,128,1.0261058967614827,-0.1807541451238983,0.1541346462938167
F,FREESTYLE,200,200 Libre,1470,-0.11804547032300454,5.680209883867112e-06,1.022750865051903,1.0227057720105828,126,1.0237701962218728,-0.005212755576623973,0.11783468324850571
F,FREESTYLE,400,400 Libre,1145,0.0513188690639021,0.08260500428109499,1.0160799122913875,1.0254335260115608,142,1.0236173199120724,2.303514450867077,1.8562373747460674
F,MEDLEY,200,200 Combinado,968,-0.009654069078969324,0.7641900982508004,1.0267449949756513,1.0305598491536616,85,1.031247612499045,0.4935276850091935,0.5825036290014507
F,MEDLEY,400,400 Combinado,570,0.1655486134071463,7.15186418308205e-05,1.0201830894543358,1.0333675674942624,90,1.0290207798492206,3.658165276958039,2.4521055769647364
M,BACKSTROKE,100,100 Espalda,1366,-0.23178342863433446,4.057289214157523e-18,1.0616020468411729,1.049085926517026,104,1.0570075937325187,-0.6359440736699009,-0.23344416245071684
M,BACKSTROKE,200,200 Espalda,989,0.03551658105433848,0.2644743037784695,1.0531620729640532,1.0521091811414391,85,1.051746667828208,-0.1180397022332592,-0.1586810697796121
M,BREASTSTROKE,100,100 Pecho,1563,-0.06969475750674728,0.005842078714556178,1.0413035901010805,1.0414578587699317,106,1.0445746712231356,0.008851936218679222,0.1876946347835215
M,BREASTSTROKE,200,200 Pecho,1150,0.1624499158656055,3.028337640696575e-08,1.0324011724629643,1.0450411360623102,95,1.0396016311166876,1.5955426051454378,0.9089138958594946
M,BUTTERFLY,100,100 Mariposa,1542,-0.2491052536949607,3.0528556312612856e-23,1.0323030907278166,1.0204460525909433,100,1.0274254704838766,-0.594630462564192,-0.2446126552335913
M,BUTTERFLY,200,200 Mariposa,926,0.1432765785979315,1.2051620267016115e-05,1.0293312130046823,1.033901765529327,84,1.0322606357874222,0.5173408402645298,0.3315813647783279
M,FREESTYLE,50,50 Libre,1747,-0.3296244012997625,1.5035038126682388e-45,1.0405851816894762,1.0292869269949068,133,1.0321651464234278,-0.239410016977927,-0.17842054728756557
M,FREESTYLE,100,100 Libre,1745,-0.3215486145420261,2.9133087226941248e-43,1.0309234378332268,1.030424339471577,164,1.0366057585825028,-0.02340272217775637,0.2664440199335513
M,FREESTYLE,200,200 Libre,1620,-0.20858009665024835,2.210399613768541e-17,1.0311171240819483,1.0326321020847296,141,1.035943026479304,0.1567699237278006,0.499384380078356
M,FREESTYLE,400,400 Libre,1336,0.05071809437187745,0.06384344813324092,1.0268701053200109,1.0319269831895506,131,1.0305830877756943,1.1235371250543256,0.8249504420037403
M,MEDLEY,200,200 Combinado,1073,-0.0017497149517209975,0.9543475713726419,1.0329718004338395,1.038931643277501,98,1.0392298325583558,0.6868718877319968,0.7212382023504984
M,MEDLEY,400,400 Combinado,731,0.14048037213726097,0.00013864042859326948,1.0345963756177925,1.0400444497360797,94,1.0336847133315166,1.355862205818131,-0.22688539318549
